id	sentence1	sentence2	label
31	In 2006 , the Álvarez won the South America Games against Hamilton Ventura .	Hamilton Ventura won the 2006 South America Games against Álvarez .	0
32	Some reports state `` 30 years or more '' , while others claim `` 50 years or more '' .	Some reports claim `` 30 years or more '' , while others assert `` 50 years or more '' .	1
33	The resignation of Councillor Horace Muspratt ( party ? , St. Peter , reported April 15 , 1908 ) was elected to the council on 2 June 1909 .	The resignation of Councillor Horace Muspratt ( Party ? , St. Peter 's , reported 15 April 1908 ) was elected to the Council on 2 June 1909 .	1
34	On April 11 , 2011 , a like planet , HD 38283 b , was discovered in an Earth-Saturnian orbit .	In an earth-like orbit , a Saturn planet , HD 38283 b , was discovered on April 11 , 2011 .	0
35	On July 21 , 2014 , after his two successful years at Las Palmas in Spain , Chrisantus signed a three-year contract with the Turkish Super Lig - Club Sivasspor .	On July 21 , 2014 , after his two successful years at Las Palmas in Spain , Chrisantus signed a three-year contract with Sivasspor at the Turkish Super Lig .	0
36	Ruben Bolling ( born 1963 in New Jersey ) is a pseudonym for cartoonist Ken Fisher , the author of `` Tom the Dancing Bug '' .	Ken Fisher ( born c. 1963 in New Jersey ) is a pseudonym for Ruben Bolling , a cartoonist , the author of `` Tom the Dancing Bug '' .	0
37	On December 1 , Tinnish announced that he had withdrawn from his position with Toronto and would stay with Atlanta .	On 1 December , Tinnish announced that he had withdrawn from his position with Atlanta and would remain with Toronto .	0
38	Located in the southern part of the county , it lies in the southeastern part of the state .	It is located in the southeastern part of the county , in the southern part of the state .	0
39	He was born in New York City in East Broadway on October 23 , 1806 .	He was born on 23 October 1806 in New York , East Broadway .	1
40	He always added his own surname of Bhosle and then treated the child like his own son .	He always added his own surname of Bhosle and afterwards treated the child like his own son .	1
41	After selling his house on 30 Harare drive to the Canadian Embassy he bought Bromley Farm just outside Marondera , Zimbabwe .	After selling his house on 30 Harare ride to the Canadian embassy , he bought Bromley Farm outside Marondera , Zimbabwe .	1
42	The Baldwins lived in Washington , D.C. Robert Baldwin died in 1977 , and Helen Baldwin died March 14 , 1998 , from Lou Gehrig 's disease .	The Baldwins lived in Washington , D.C. Helen Baldwin died in 1977 , and Robert Baldwin died on March 14 , 1998 , from the disease of Lou Gehrig .	0
43	Doyline is an entry point to Lake Bistineau and the Bistineau State Park .	Lake Bistineau is an entry point to Doyline and the Lake Bistineau State Park .	0
44	Companies based in the larger rivium include Rockwell Automation , Royal Dutch Shell , Sodexho Nederland , Pfizer , Van Oord and many more .	Companies based in the larger Rivium include Rockwell Automation , Pfizer Nederland , Sodexho Nederland , Royal Dutch Shell , Van Oord , and many more .	0
45	Axl Rose had wanted the Seattle rock band Nirvana to be the opening act , but frontman Kurt Cobain declined .	Axl Rose had wanted Seattle rock band Nirvana to be the opening act , but frontman Kurt Cobain refused .	1
46	He built weapons factories for Vtorov and Mikhelson in Moscow , Serpukhov , Zatishye ( Elektrostal ) , Bogorodsk ( Noginsk ) .	He built weapon factories for Vtorov and Mikhelson in electrostal , Zatishye ( Moscow , Serpukhov ) and Bogorodsk ( Noginsk ) .	0
47	In June of 1997 , Kristin met Richard Armstrong .	In June of 1997 , Armstrong met Kristin Richard .	0
48	The U.S. Route 191 leads north from Douglas to Interstate 10 near Willcox , the Arizona State Route 80 leads west to Bisbee and northeast to Interstate 10 in New Mexico .	U.S. Route 191 leads north from Douglas to Interstate 10 near Willcox . Arizona State Route 80 leads west to Bisbee and northeast to Interstate 10 in New Mexico .	1
49	Most Jewish anarchists supported anarchosyndicalism and communist anarchism , while a few were individualist anarchists .	Most individualist anarchists supported anarchosyndicalism and communist anarchism , while a few Jewish anarchists were .	0
50	From 1921 to 2012 , Blue Ash Airport was the location of Blue Ash Airport -- Cincinnati .	From 1921 to 2012 , Cincinnati -- Blue Ash Airport was the Blue Blue Ash site .	0
51	It was founded in 1982 by Samuel Lipman , a former art critic of `` New York Times '' and Hilton Kramer , pianist and music critic .	It was founded in 1982 by Hilton Kramer , former art critic for `` The New York Times '' , and Samuel Lipman , a pianist and music critic .	0
52	Constante was the wife of musicologist Victor Brauner and the sister-in-law of the painter Harry Brauner .	Constante was the wife of the musicologist Harry Brauner , and the sister-in-law of the painter Victor Brauner .	0
53	Shadow Mountain Lake is connected by a short channel to the natural Grand Lake .	The Grand Grand Lake is connected to the short Shadow Mountain Lake by a natural channel .	0
54	The painting of the trams on line 1 was decorated with blue swallows by the stylists Élisabeth Garouste and Mattia Bonetti in white .	The livery of trams on Line 1 was decorated in blue with white swallows by stylists Élisabeth Garouste and Mattia Bonetti .	0
55	In 1986 , Ray and sitcom actress Marla Gibbs were among the notables who helped dedicate Billie Holiday 's star on the Hollywood Walk of Fame .	In 1986 , Ray and Sitcom were actress Marla Gibbs among the notables who helped consecrate Billie Holiday Star on the Hollywood Walk of Fame .	1
56	The variable region of each heavy or light immunoglobulin chain is encoded in several pieces -- known as gene segments ( subgenes ) .	The light region of each immunoglobulin heavy or variable chain is encoded in several pieces -- known as gene segments ( subgenes ) .	0
57	Will and Dani sleep together , but he returns to Gypsy and supports her after being raped by Sam Atwell ( Kane Phillips ) .	Will and Gypsy sleep together , but he returns to Dani and supports her after being raped by Kane Phillips ( Sam Atwell ) .	0
58	Particularly dense erosion occurred in warmer melting periods during the ice ages , when the climate of the tundra prevailed and the soil was not protected by a strong vegetation .	Particularly strong erosion occurred in warmer melting periods during the ice ages , when the climate of the tundra reigned and the soil was not protected by a dense vegetation ceiling .	0
59	Torre is a Wall Street Journal , USA Today , New York Times , and Amazon International 's Bestselling Author .	Torre is a New York Times , USA today , Wall Street Journal and Amazon International Bestselling Author .	1
60	Vic participated in many different countries and fought for Armenia in the 2000 Olympic Games in Sydney , Australia .	In many countries , he participated in Vic and fought for Armenia at the 2000 Olympic Games in Sydney , Australia .	1
61	The tour reached Shanghai on July 12 , 2008 and Bangkok , Thailand on November 22 , 2008 .	The tour reached Bangkok in Thailand on 12 July 2008 and on November 22 , 2008 in Shanghai .	0
62	He died in Culver City , California on September 28 , 1988 , and was buried at the Hillside Memorial Park Cemetery in Los Angeles , California .	He died on 28 September 1988 in Los Angeles , California , and was buried at Hillside Memorial Park Cemetery in Culver City , California .	0
63	For the first time in league history , Gary Gait of Rochester played against his twin brother Paul Gait of Philadelphia .	For the first time in the history of the league , Paul Gait from Rochester played against his twin brother Gary Gait of Philadelphia .	0
64	The construction of the PRL began with the Chatswood section to Epping , which began in November 2002 .	The construction of the PRL began with the section Chatswood to Epping , which began in November 2002 .	1
65	Evariste Baizeau ( June 3 , 1821 - Nantes , February 6 , 1910 ) was a French military physician .	Anacharsis Evariste Baizeau ( 3 June 1821 , Paris -- 6 February 1910 , Nantes ) was a French military physician .	1
66	The school was taken over by Charles Kilroy in the 1960s , his son Patrick Kilroy took over Kilroy College in 1999 .	The school was taken over in the 1960s by Patrick Kilroy , and his son Charles Kilroy took over the management of Kilroy 's College in 1999 .	0
67	Howarth , during an April 1994 `` Soap Opera Update '' interview , said that the only thing that he admired about Todd was his clothing style .	During an interview in April 1994 `` Soap Opera Update '' Howarth said that the only thing he admired about Todd was his clothes style .	1
68	Anacharsis Evariste Baizeau ( 3 June 1821 , Paris -- 6 February 1910 , Nantes ) was a French military physician .	Anacharsis Evariste Baizeau ( June 3 , 1821 - February 6 , 1910 ) was a French military physician .	0
69	His sister Mary ( born 25 February 1956 ) won the 1500m in San Sebastian in 1977 and then became the Commonwealth Games champion in 1978 in Edmonton .	His sister Mary ( born February 25 , 1956 ) won the 1500m in San Sebastian in 1977 and was appointed in Edmonton Commonwealth Games - Champion in 1978 .	1
70	No farthings were produced during the brief reigns of Henry VI and Edward IV , or during the second reign of Edward V .	During the second reign of Henry VI and Edward IV , or during the short reign of Edward V , no farthings were produced .	0
71	The private Catholic schools are Fort Meigs , Frank , Toth and Woodland Elementary Schools , which make up the primary public school , Saint Rose , the fifth .	The private Catholic schools are Fort Meigs , Frank , Toth and Woodland Elementary Schools , with the primary public school , Saint Rose , making up the fifth .	1
72	After playing in England for Millwall , Clapton Orient and Chelmsford City , Walsingham moved to Italy to play with Genoa and Bologna .	Having played for Millwall , Clapton Orient and Chelmsford City in Italy , Walsingham moved to England to play with Genoa and Bologna .	0
73	She returns to Sunnydale in season seven , not only to perform Buffy and the Scoobies , but to help in a position of leadership .	In the seventh season she returns to Sunnydale not only to help Buffy and the Scoobies , but to perform in a leadership position .	0
74	A new South stand was built in 2005 and 2006 to make the stadium into a complete bowl .	In 2005 and 2006 , a new southern stand was built to make the stadium a complete bowl .	1
75	The death of Mao Zedong in 1976 , however , brought economic reform to the PRC , which led to Japan ’ s expected investment in the Chinese economy .	The death of Mao Zedong in 1976 , however , brought economic reform to the PRC , which led to China ’ s expected investment in the Japanese economy .	0
76	Octavian recognized the value of holding Egypt and had the kingdom annexed as a Roman province .	Octavian annexed the value of Egypt and had the kingdom recognized as a Roman province .	0
77	In his debut Sydney season with the St. George Dragons in 1957 , he represented for both Sydney firsts and New South Wales .	In his debut season in New South Wales with St. George Dragons in 1957 , he represented Sydney Firsts and Sydney .	0
78	On the left side the 10th IR would also attack the 13th Brigade line south of Marrett Wood .	On the left , the 13th IR would also attack the 10th Brigade line south of Marrett Wood .	0
79	This created a spacious atrium on the Washington St. side of the building , modernized much of the building infrastructure , and added new computers .	This created a new atrium on the Washington St. side of the building , modernized much of the building 's infrastructure and added spacious computers .	0
80	The application of the term `` controversial '' to asylum seekers is illegal .	The application of the term ‘ illegal ’ to asylum seekers is controversial .	0
81	When he died in 1719 , his eldest son , also called Joseph , followed initially Joseph Truman .	When he died in 1719 , his eldest son , also called Joseph , initially succeeded Joseph Truman .	1
82	The World Cup started on 9 January 1982 in Reit im Winkl and ended on 13 April 1982 in Kiruna , Sweden .	The 1981/82 World Cup started in Reit im Winkl , Kiruna , Sweden on 9 January 1982 and finished in Germany on 13 April 1982 .	0
83	They do not follow the pattern of caldera growth and destruction that other shield volcanoes do ; caldera may form , but they generally do not disappear .	They do not follow the pattern of caldera - growth and destruction that other shield - do volcanoes , caldera may form , but they generally do not disappear .	1
84	The first landing in Lae Airfield was possessed by Ernest Mustar on April 19 , 1927 in a De Havilland DH.37 by Guinea Gold Airways from Wau .	The first landing at Lae Airfield was made on 19 April 1927 by Ernest Mustar in a De Havilland DH.37 owned by Guinea Gold Airways from Wau .	1
85	Between Langensteinbach and the newly created Schießhüttenäcker railway station , a short double track section was also built in 2011 .	In 2011 , a short double track section was also created between Langensteinbach and the newly built station of Schießhüttenäcker .	1
86	Several members of the CFA were appointed to the McMillan Commission , as were many McMillan Plan supporters .	Several members of the McMillan Commission were appointed to the CFA as many supporters of the McMillan plan .	0
87	Revco was subsequently acquired by CVS in 1997 .	CVS was acquired in 1997 by Revco .	0
88	Nesby Phips was released in the documentary `` Mystery Lights '' , presented by Nowhere Studios , produced by Converse and published in the UK on December 4 , 2015 .	Nesby Phips was released in the documentary `` Mystery Lights '' , produced by Nowhere Studios , presented by Converse and published in the UK on 4 December 2015 .	0
89	Positive real when , Here the zeta function is Hurwitz zeta function and Beta is a valid number .	Here is the Zeta function Hurwitz - Zeta - function and beta is a valid number .	0
90	The other two rivers are the Mangles River , and the Matiri River .	The two other rivers are the Matiri and the Mangles .	1
91	On May 28 , 2011 , a leadership election was held to replace Darrell Pasloski . Dennis Fentie was chosen after only one ballot .	On 28 May 2011 , a leadership was chosen to replace Dennis Fentie , Darrell Pasloski was elected after only one ballot .	0
92	Aldous Huxley introduced Alfred Matthew Hubbard into the drug in 1955 , and Timothy Leary began to take it in 1962 .	Alfred Matthew Hubbard introduced Aldous Huxley to the drug in 1955 and Timothy Leary began taking it in 1962 .	0
93	A new system Of CCE is also implemented in the school for a continuous and a comprehensive evaluation of students .	A new system of CCE is also implemented at school for a continuous and comprehensive evaluation of the students .	1
94	The dictionary form of a verb is the infinitive , which occasionally ends with `` -ć '' ( usually with `` -c '' ) .	The dictionary form of a verb is the infinitive , which usually ends with `` -c '' ( occasionally with `` -c '' ) .	0
95	At the bottom of the hydrometer is a weighted bulb and at the top is a pan for small weights .	At the bottom of the hydrometer there is a weighted light bulb and a frying pan for small weights at the top .	1
96	He attended the Liceo Classico in Germany before studying chemistry at the University of Munich in L 'Aquila .	He attended the liceo classico in Germany before studying chemistry at the University of Munich in L'Aquila .	1
97	In April 2016 it was announced that Reid will also present the new sister broadcast `` Top Gear '' Extra Gear `` along with Harris .	In April 2016 it was announced that Harris will also present the new sister show `` Top Gear '' Extra Gear `` together with Reid .	0
98	Janet Scott was born on James Alexander Hanson , the second son of James Trickett Hanson ( a Danish immigrant ) and Jim Marchbank .	Born James Alexander Hanson , the second son of James Trickett Hanson ( a Danish immigrant ) and Janet Scott , was born .	0
99	The Total Total Evaporation is The Radiators ' fifth album and their fourth studio album .	The Total Evaporation is the fourth album by The Radiators and their fifth studio album .	0
100	David Spinozza plays the acoustic guitar in the song , Liberty DeVitto plays the drums and Robert Freedman the horn and string orchestration .	David David Spinozza plays the acoustic guitar in the song , Liberty DeVitto plays the drums and Robert Freedman plays the horn and string orchestration .	1
101	The school belongs to the Jefferson District of VHSL Region II ( Virginia High School League ) .	The school belongs to the Jefferson District of Region II of the Virginia High School League ( VHSL ) .	1
102	It is native to Chiapas , Guatemala , Honduras , El Salvador , Panama , Guerrero , Oaxaca , Veracruz .	It is native to Chiapas , Guatemala , Honduras , El Salvador , Guerrero , Panama , Oaxaca , Veracruz .	1
103	A border war broke out between Magdeburg and the Archbishop of Wolfenbüttel in 1346 .	In 1346 , a border war between Wolfenbüttel and the Archbishop of Magdeburg broke out .	0
104	Ruffell was employed as an engineer in Southampton Docks and died on 3 October 1940 in Southampton on his 73rd birthday .	Ruffell was employed as an engineer in Southampton Docks . He died in Southampton on his 73rd birthday , 3 October 1940 .	1
105	Clanculus atypicus is a species of sea snail , a marine gastropod mollusk in the family Trochidae , the top snails .	Clanculus atypicus is a species of sea snail , a marine gastropod mollusk in the Trochidae family , the top screws .	0
106	David Ray Griffin advocated a sophisticated form of panpsychism , called `` Panexperientialism `` by A. N. Whitehead .	David Ray Griffin advocated a sophisticated form of panpsychism that has been called by A. N. Whitehead `` panexperientialism '' .	1
107	It was named after Malaysia 's former prime minister , Tun Hussein Onn .	It was named after former Malaysia 's third Prime Minister , Tun Hussein Onn .	0
108	The Soviet Union was officially neutral in Europe until June 1941 , and Asia until August 1945 , when it attacked Japan in collaboration with the US .	The Soviet Union was officially in Asia until June 1941 , and Europe was officially neutral until August 1945 , when it attacked Japan in cooperation with the US .	0
109	Although the opponent , Guillermo Valencia , was also a member of the Liberal Party , he was given support from the Conservative Party .	Although opposition activist Guillermo Valencia was also a member of the Conservative Party , he received support from the Liberal Party .	0
110	His sister Mary ( born February 25 , 1956 ) won the 1500m in San Sebastian in 1977 and was awarded the Edmonton Commonwealth Games - Champion in 1978 .	His sister Mary ( born 25 February , 1956 ) won the 1500m in Edmonton in 1977 and then became the Commonwealth Games champion in 1978 in San Sebastian .	0
111	Sukumar Prasad is a southern Indian guitarist who was the first Carnatic musician to play the South Indian musical art form of Carnatic music on the electric guitar .	Sukumar Prasad is a South Indian guitarist who was the first Carnatic musician to play the south Indian musical art form of Carnatic music on the electric guitar .	1
112	Four times between 1777 and 1860 , bells were consecrated , and three new ones were mentioned in 1861 .	Four bells were consecrated between 1777 and 1860 , and in 1861 three new bells were mentioned .	1
113	Wu Xiang 's son , Wu Sangui , was the commander of the Shanhai Pass , the last major obstacle between Manchu and Beijing .	Wu Xiang 's son Wu Sangui was the commander of Shanhai Pass , the last major obstacle between the Manchus and Beijing .	1
114	In physical cosmology , the energy of the cosmological vacuum appears as the cosmological constant .	The energy of the cosmological vacuum appears in physical cosmology as a cosmological constant .	1
115	Lillian `` Lilly '' Truscott ( Emily Osment ) is the best girlfriend of Miley Stewart and friend of Oliver Oken on seasons 3 and 4 .	Lillian `` Lilly '' Truscott ( Oliver Oken ) is the best girlfriend of Emily Osment and friend of Miley Stewart in seasons 3 and 4 .	0
116	Windows XP - Mode runs Windows XP on a separate computer and displays applications in virtual windows on the Windows 7 desktop .	Windows XP Mode runs Windows XP in a separate machine , and displays applications within virtual windows on the Windows 7 desktop .	1
117	`` Yubhal '' , or in contemporary `` Yuval '' , derived from the Biblical character , is a common male first name in modern Hebrew Israel .	`` Yubhal '' , or in modern Hebrew `` Yuval '' , derived from the Biblical character , is a general male first name in contemporary Israel .	0
118	The caves are from Bhubaneshwar in Odisha and Hydrabad , both via National Highway 5 .	The caves are from Odisha in Bhubaneshwar and from Hydrabad , both via National Highway 5 .	0
119	Torre is a New York Times , USA Today , Wall Street Journal and Amazon International bestselling novelist .	Torre is a New York Times , USA today , Wall Street Journal and Amazon International Bestselling Author .	1
120	`` Captain '' was hulked in 1739 , and eventually broken up in 1762 .	`` Captain '' was broken in 1739 , and eventually rolled up in 1762 .	0
121	Until the Ghana School of Law was established in 1958 , all lawyers in Ghana were trained abroad , almost always at the Inns of Court in England .	Until the Ghana School of Law was founded in 1958 , all lawyers were trained abroad in England , almost always at the Inns of Court in Ghana .	0
122	In the following weeks on `` Raw '' Hardy repeatedly began to attack Lita and seduce Kane .	In the following weeks on `` Raw '' , Hardy began repeatedly assaulting Lita and attempting to seduce Kane .	1
123	Players not released by the Warriors were required to play in the 2006 Bartercard Cup .	Players who were not released by the Warriors had to play in the Bartercard Cup 2006 .	1
124	Lorna Saycon Espina , the ninth mayor , is the incumbent mayor of the Municipality of Mahayag .	Lorna Saycon Espina , the incumbent Municipal mayor , is the 9th Municipal Mayor of the Municipality of Mahayag .	1
125	Both trains are hauled by a Guwahati Loco Shed based WDM-2 diesel locomotive from Rangiya to Dibrugarh and vice versa .	Both trains are towed by a WDM-2 diesel locomotive based on Guwahati Loco Shed from Dibrugarh to Rangiya and vice versa .	1
126	However , the UCPD claims that 111 police officers were injured , including one California Highway Patrol Officer Albert Bradley , who was knifed in the chest .	The California Highway Patrol , however , claims that 111 police officers were injured , including an UCPD officer , Albert Bradley , who was tied in the chest .	0
127	Oecomys rutilus , also known as the red arboreal oecomys or reddish rice rat , is a species of rodent in the genus `` Oecomys '' of family Cricetidae .	Oecomys rutilus , also known as the reddish oecomys or red arboreal rice rat , is a type of rodent in the genus '' Oecomys '' from the Cricetidae family .	0
128	Hans Bock ( October 5 , 1928 - January 21 , 2008 ) was a German chemist , born in Königstein , Taunus , and died in Hamburg .	Hans Bock ( 5 October 1928 -- 21 January 2008 ) was a German chemist born in Königstein im Taunus and died in Hamburg .	1
129	In 2013 , former President Brenda Kuecks received a Clean50 Award for her work to promote clean development and sustainable capitalism in Canada .	Former President Brenda Kuecks received a Clean50 Award for her work to promote sustainable development and clean capitalism in Canada in 2013 .	0
130	She began the practice of grouping students with the same speech problem and teaching them together .	She began the practice of teaching students with the same language problem and grouping them together .	0
131	Having won the 2001 Super League , the Knights traveled to England to play the 2002 World Club Challenge against NRL Premiership champions , the Bradford Bulls .	After winning the Super League 2001 , the knights traveled to England to play the World Club Challenge in 2002 against NRL Premiership Champions , the Bradford Bulls .	1
132	The symbols formula _ 16 and formula _ 17 represent scheme limited functions ( of the dependent extrapolated cell edge variables ) , `` i.e . `` ,	The Formula 16 and Formula 17 symbols represent scheme-dependent functions ( of the limited extrapolated cell edge variables ) , i.e .	0
133	The interior of the resettled Palais de Danse was then redesigned by the griffins the following year .	The interior of the relocated Palais de Danse was then redesigned by the Griffins the following year .	1
134	In Tennessee , unlike Alabama or Mississippi , MS 178 and US 78 are totally separate routes .	In Mississippi , MS 178 and US 78 are completely separate routes , unlike Alabama or Tennessee .	0
135	The Chilean New Song movement was spurred by a renewed interest in Chilean traditional music and folklore in the late 1950s and early 1960s .	The Chilean New Song movement was fired by renewed interest in traditional Chilean music and folklore in the late 1950s and early 1960s .	0
136	Robin Vincent Searby ( born July 20 , 1947 ) is a former officer of the British Army , who commanded Major Division .	Major-General Robin Vincent Searby ( born 20 July 1947 ) is a former British Army officer who commanded 5th Division .	0
137	Kevin Johnson brought together a group managed by Vivek Ranadive to keep the team in Sacramento .	Vivek Ranadive brought together a group managed by Kevin Johnson to keep the team in Sacramento .	0
138	The scope of the work was to remove some areas of the intonaco at the eastern end of the building and partially consolidate the soot and dirt .	The scope of work was to consolidate some areas of intonaco at the eastern end of the building and to partially remove the soot and dirt .	0
139	It is provided by Romtelecom ( formerly Telekom ) , INES ( an Internet , IPTV and Internet provider ) .	It is provided by Telekom ( formerly Romtelecom ) , INES ( an Internet , IPTV and Internet Service Provider ) .	0
140	In 1727 , Mary Mary Carr married Caleb Carr , daughter of Lyndon ( Stanton ) Carr , and granddaughter of Governor Edward and Hannah .	Mary Carr married in 1727 Caleb Carr , the daughter of Lyndon ( Stanton ) Carr , and granddaughter of Governor Edward and Hannah .	1
141	The first one has a narrow 0 in the date , while the second and the third have a broad 0 in different positions .	The first has a wide 0 in the date , while the second and the third have a narrow 0 in different positions .	0
142	Drew Springer , Jr. , a businessman from Münster in Cooke County , has represented Dickens County in Texas House of Representatives since January 2013 .	Since January 2013 , Drew Springer , Jr. , a businessman from Münster in Dickens County , has represented Cooke County in the Texas House of Representatives .	0
143	They established several churches and monasteries and founded new centers of Christianity .	They built new churches and monasteries and established several centers of Christianity .	0
144	Kurt Treu ( 15 September 1928 in Vienna , Austria -- 6 June 1991 in Karja , Saare County , Estonia ) , was a German classical Philologist .	Kurt Treu ( 15 September 1928 in Vienna , Austria -- June 6 , 1991 in Karja , Saare County , Estonia ) was a classical German philologist .	1
145	Between 1885 and 1978 , the following ships were used from Malta to Gozo :	Between 1885 and 1978 , the following ships were used from Gozo to Malta :	0
146	Peterson wore # 52 on his uniform during his rookie season , and switched to # 19 in 1967 after Bob Friend was traded to the New York Mets .	Peterson wore at his uniform during his rookie season # 52 and changed over to # 19 in 1967 , after Bob Friend was traded on the New York Mets .	1
147	Suzanne Ashworth ( also Dick ) is a fictional figure from the British Channel 4 - soap opera `` Hollyoaks '' , played by Suzanne Hall .	Dick ( also Suzanne Ashworth ) is a fictional character from the British Channel 4 soap opera , `` Hollyoaks '' , played by Suzanne Hall .	1
148	Alaattin Çakıcı was apprehended in France in August 1998 carrying a red `` government official '' passport issued by Ataç at the Turkish Embassy in Beijing .	Ataç was arrested in August 1998 in France with a red `` government official '' passport issued by Alaattin Çakıcı at the Turkish embassy in Beijing .	0
